a,character,columns
182176,32192,182651
182177,32326,182651
182178,32460,182651
182179,32594,182651
182180,32728,182651
182181,32862,182651
182182,32996,182651
182183,33130,182651
182184,33264,182651
182185,33398,182651
182186,33532,182651
182187,29663,182634
182188,29820,182634
182189,29977,182634
182190,30134,182634
182191,30291,182634
182192,30448,182634
182193,31504,182651
182194,31520,182651
182195,31536,182651
182196,31552,182651
182197,31568,182651
182198,31584,182651
182199,31600,182651
182200,31704,182651
182201,31861,182651
182202,32018,182651
182203,32175,182651
182204,32332,182651
182205,32489,182651
182206,32646,182651
182207,32803,182651
182208,32960,182651
182209,33117,182651
182210,33274,182651
182211,33431,182651
182212,33588,182651
182213,33745,182651
182214,33902,182651
182215,34059,182651
182216,34216,182651
182217,34373,182651
182218,34530,182651
182219,34687,182651
182220,38256,182651
182221,38308,182651
182222,38360,182651
182223,38490,182651
182224,38624,182651
182225,38758,182651
182226,38892,182651
182227,39026,182651
182228,39160,182651
182229,39294,182651
182230,39428,182651
182231,39562,182651
182232,39696,182651
182233,39830,182651
182234,39964,182651
182235,40098,182651
182236,40232,182651
182237,40366,182651
182238,40500,182651
182239,40634,182651
182240,40768,182651
182241,40902,182651
182242,41036,182651
182243,41170,182651
182244,41304,182651
182245,41438,182651
182246,41572,182651
182247,41706,182651
182248,41840,182651
182249,41974,182651
182250,42108,182651
182251,42242,182651
182252,42376,182651
182253,44995,182653
182254,45106,182653
182255,45217,182653
182256,45328,182653
182257,45439,182653
182258,45550,182653
182259,45661,182653
182260,45772,182653
182261,45883,182653
182262,45994,182653
182263,46105,182653
182264,46216,182653
182265,46327,182653
182266,46438,182653
182267,46549,182653
182268,46660,182653
182269,46771,182653
182270,46882,182653
182271,45050,182653
182272,45056,182653
182273,45190,182653
182274,47326,182653
182275,47437,182653
182276,47548,182653
182277,47659,182653
182278,47770,182653
182279,47881,182653
182280,47992,182653
182281,48103,182653
182282,48214,182653
182283,48325,182653
182284,48436,182653
182285,48547,182653
182286,48658,182653
182287,48769,182653
182288,48880,182653
182289,48991,182653
182290,49102,182653
182291,49213,182653
182292,49324,182653
182293,52565,182659
182294,52630,182659
182295,52695,182659
182296,52760,182659
182297,52825,182659
182298,52890,182659
182299,52955,182659
182300,53020,182659
182301,53085,182659
182302,53150,182659
182303,53215,182659
182304,53280,182659
182305,53345,182659
182306,53410,182659
182307,53475,182659
182308,53540,182659
182309,53605,182659
182310,53670,182659
182311,53735,182659
182312,53800,182659
182313,53865,182659
182314,53930,182659
182315,53995,182659
182316,56132,182679
182317,56151,182679
182318,56170,182679
182319,56189,182679
182320,56208,182679
182321,56227,182679
182322,56246,182679
182323,56265,182679
182324,56284,182679
182325,56303,182679
182326,56322,182679
182327,56341,182679
182328,56360,182679
182329,56379,182679
182330,56398,182679
182331,56417,182679
182332,56436,182679
182333,56455,182679
182334,56474,182679
182335,56493,182679
182336,56512,182679
182337,56531,182679
182338,56550,182679
182339,56569,182679
182340,56588,182679
182341,56132,182681
182342,56188,182695
182343,56230,182695
182344,56272,182695
182345,56314,182695
182346,56356,182695
182347,56398,182695
182348,56440,182695
182349,56482,182695
182350,56762,182699
182351,56797,182715
182352,56816,182715
182353,56648,182729
182354,56692,182731
182355,56873,182751
182356,56892,182751
182357,11345,182757
182358,11358,182757
182359,11371,182757
182360,11384,182757
182361,11397,182757
182362,11542,182757
182363,11693,182757
182364,11844,182757
