y,count
19764,2577105044
19765,2762904735
19766,2627186382
19767,2810168353
19768,2641679034
19769,2866281979
19770,2684941746
19771,2883705895
19772,2740551016
19773,2928110990
19774,2759303280
19775,2985126409
19776,2803103368
19777,3006701483
19778,2856243818
19779,3056668201
19780,2874251544
19781,3114261191
19782,2923755292
19783,3132239840
19784,2982522126
19785,3182580613
19786,2999901996
19787,3246186757
19788,3046266142
19789,3269325085
19790,3105789482
19791,3319746676
19792,3128129484
19793,3380630648
19794,3180241634
19795,3403016766
19796,3240813410
19797,3459645529
19798,3258657768
19799,3527144322
19800,3311102672
19801,3548795973
19802,3377913700
19803,3602605656
19804,3401172328
19805,3670471340
19806,3454052362
19807,3697491901
19808,3517886050
19809,3757545472
19810,3540699540
19811,3826566206
19812,3599581384
19813,3849229481
19814,3670319436
19815,3909600818
19816,3692366092
19817,3985993328
19818,3747989476
19819,4014045113
19820,3819532692
19821,4074951190
19822,3847081248
19823,4148039129
19824,3909992498
19825,4175529437
19826,3982020010
19827,4243570782
19828,4004838264
19829,4324224745
19830,4067812584
19831,4351526733
19832,4147635880
19833,4415380689
19834,4176581444
19835,4496953389
19836,4239997832
19837,4530285703
19838,4316735702
19839,4601990875
19840,4344516422
19841,4684611975
19842,4415376786
19843,4712839592
19844,4499979974
19845,4785359615
19846,4527202734
19847,4875855899
19848,4594273914
19849,4910653866
19850,4679728372
19851,4983643794
19852,4713897290
19853,5070829318
19854,4788395656
19855,5105051780
19856,4874929316
19857,5186024423
19858,4903485698
19859,5282439196
19860,4978696712
19861,5315561524
19862,5074004610
19863,5392377845
19864,5109569520
19865,5489607111
19866,5185735740
19867,5530224184
19868,5276732614
19869,5615933321
19870,5311368452
19871,5714357404
19872,5396044206
19873,5749488982
19874,5496648970
19875,5835325850
19876,5530693112
19877,5943284423
19878,5610593876
19879,5986022260
19880,5712740050
19881,6072850952
19882,5753906472
19883,6176926755
19884,5843148368
19885,6218637853
19886,5946268210
19887,6315412957
19888,5981528586
19889,6429158219
19890,6071338254
19891,6470309641
19892,6184462236
19893,6561989518
19894,6228353900
19895,6677346177
19896,6318458556
19897,6726908886
19898,6427163378
19899,6828644762
19900,6469846408
19901,6945912845
19902,6570234738
19903,6988363982
19904,6689955852
19905,7090754182
19906,6731680724
19907,7218882959
19908,6827339758
19909,7270615820
19910,6947737516
19911,7374063369
19912,6998404802
19913,7497378572
19914,7104465806
19915,7548802119
19916,7226649386
19917,7662645960
19918,7270226120
19919,7797817368
19920,7376967292
19921,7848132281
19922,7511277270
19923,7956814682
19924,7563820034
19925,8093654498
19926,7671336886
19927,8153647253
19928,7800529542
19929,8274354987
19930,7852336536
19931,8412398503
19932,7971578376
19933,8464778712
19934,8113034576
19935,8586209432
19936,8164571848
19937,8737189194
19938,8277230928
19939,8800262038
19940,8420152940
19941,8922713286
19942,8481579276
19943,9068973000
19944,8606988028
19945,9130264651
19946,8751892030
19947,9265394747
19948,8805062298
19949,9425068843
19950,8931670894
19951,9485999721
19952,9089482438
19953,9614843857
19954,9153700654
19955,9776138752
19956,9281152778
19957,9848806267
19958,9433498260
19959,9990549991
19960,9496855488
19961,10153840027
19962,9637389978
19963,10217691756
19964,9804674438
19965,10360839264
19966,9866281170
19967,10539033062
19968,10000185866
19969,10614598478
19970,10168940198
19971,10759678708
19972,10242815978
19973,10931151732
19974,10390947418
19975,11005830525
19976,10561643568
19977,11164946367
19978,10626848542
19979,11352508721
19980,10775376074
19981,11426438061
19982,10961511734
19983,11578329164
19984,11039117026
19985,11768498522
19986,11189226266
19987,11854730006
19988,11369028618
19989,12022002102
19990,11445187944
19991,12214359228
19992,11611289494
19993,12291112015
19994,11806829508
19995,12459866056
19996,11882024012
19997,12668829542
19998,12039994654
19999,12760088191
20000,12238094646
20001,12929565443
20002,12327035766
20003,13131752969
20004,12501199696
20005,13221534170
20006,12702276886
20007,13408053491
20008,12780089584
20009,13628237390
20010,12955295648
20011,13717110472
20012,13173818066
20013,13896150111
20014,13266472102
20015,14118036915
20016,13443555008
20017,14221520390
20018,13654501368
20019,14418070493
20020,13746495394
20021,14643127140
20022,13940059322
20023,14735883861
20024,14170038576
20025,14933515410
20026,14260681884
20027,15178592838
20028,14445906438
20029,15286292496
20030,14678435096
20031,15485815060
20032,14784614846
20033,15722618816
20034,14989123230
20035,15829702459
20036,15223540302
20037,16048488201
20038,15317767746
20039,16305604819
20040,15523531332
20041,16412242375
20042,15778631284
20043,16620978388
20044,15889703522
20045,16881048886
20046,16096796018
20047,17004437161
20048,16344418128
20049,17233622871
20050,16453180520
20051,17497215279
20052,16680317270
20053,17607805070
20054,16948946038
20055,17839522689
20056,17057248846
20057,18123949007
20058,17274680774
20059,18252785928
20060,17545935008
20061,18486202006
20062,17672653380
20063,18762474460
20064,17910554196
20065,18890010028
20066,18185016428
20067,19144915996
20068,18298010286
20069,19445276175
20070,18537833026
20071,19571181920
20072,18835662130
20073,19815497463
20074,18967400742
20075,20118782686
20076,19210116034
20077,20264417918
20078,19497471720
20079,20532086854
20080,19627790440
20081,20838702693
20082,19892832258
20083,20971082526
20084,20205274162
20085,21239679027
20086,20334545822
20087,21571277509
20088,20588233502
20089,21723755033
20090,20904741800
20091,21995394188
20092,21053434680
20093,22317328335
20094,21331032480
20095,22468382285
20096,21650943376
20097,22765303984
20098,21784892208
20099,23112775630
20100,22064787878
20101,23262744600
20102,22410542854
20103,23547632774
20104,22567192540
20105,23899174275
20106,22848215816
20107,24071618084
20108,23183347840
20109,24382205859
20110,23337878172
20111,24738946185
20112,23645510456
20113,24894033972
20114,24008733444
20115,25207134741
20116,24161724486
20117,25591766554
20118,24457380906
20119,25770979098
20120,24823292408
20121,26086906483
20122,24999434202
20123,26460271740
20124,25322038596
20125,26638950681
20126,25692608742
20127,26981638506
20128,25852221490
20129,27384813501
20130,26176650070
20131,27562203371
20132,26577763212
20133,27892194076
20134,26760643208
20135,28299991574
20136,27088164980
20137,28501744029
20138,27476806268
20139,28862318135
20140,27658507550
20141,29273765768
20142,28015240608
20143,29457772996
20144,28435325576
20145,29820263517
20146,28616644636
20147,30264449656
20148,28957964784
20149,30475308339
20150,29382070964
20151,30840814576
20152,29589338936
20153,31273084286
20154,29962124450
20155,31481434055
20156,30391370972
20157,31878411802
20158,30578958138
20159,32344316026
20160,30955486694
20161,32551817911
20162,31417129446
20163,32934225705
20164,31632552766
20165,33404561986
20166,32011473246
20167,33641677561
20168,32460320496
20169,34055892060
20170,32674281920
20171,34531671311
20172,33085968300
20173,34748086762
20174,33571200200
20175,35166117027
20176,33782526222
20177,35678217146
20178,34178010684
20179,35924457518
20180,34667684242
20181,36347178225
20182,34909072864
20183,36843885361
20184,35340046060
20185,37088145820
20186,35834714036
20187,37545954402
20188,36055899378
20189,38081495252
20190,36488050586
20191,38325259487
20192,37020734272
20193,38765548008
20194,37272852340
