v,count
1812,46569431
1813,40526694
1814,44843351
1815,40454152
1816,46931475
1817,39320740
1818,46950459
1819,40957294
1820,45814647
1821,41018666
1822,47655924
1823,39601660
1824,47782983
1825,41869196
1826,46077107
1827,41710166
1828,48395719
1829,40317116
1830,48453946
1831,42075002
1832,47154585
1833,42334916
1834,48937039
1835,40913846
1836,49048673
1837,43079972
1838,47524081
1839,42788254
1840,49951120
1841,41451710
1842,49850072
1843,43370740
1844,48354771
1845,43712124
1846,50251406
1847,42111874
1848,50614716
1849,44184344
1850,48990030
1851,43942780
1852,51351604
1853,42776346
1854,51120819
1855,44808316
1856,49653252
1857,44924798
1858,51779577
1859,43185682
1860,52195817
1861,45350150
1862,50433712
1863,45314268
1864,52606980
1865,44140518
1866,52467223
1867,46073434
1868,51161847
1869,46111464
1870,53392949
1871,44282500
1872,53653227
1873,46738112
1874,51679695
1875,46751108
1876,54027539
1877,45403910
1878,53992164
1879,47215000
1880,52749743
1881,47301950
1882,54860917
1883,45702532
1884,54982040
1885,48158622
1886,53007997
1887,48050478
1888,55621229
1889,46508734
1890,55713329
1891,48436422
1892,54152417
1893,48742466
1894,56173477
1895,47133642
1896,56386391
1897,49530676
1898,54596563
1899,49177570
1900,57285786
1901,47699540
1902,57207442
1903,49896062
1904,55515548
1905,50232126
1906,57552869
1907,48412186
1908,58032031
1909,50725292
1910,56238695
1911,50483872
1912,58818032
1913,49077632
1914,58573697
1915,51394320
1916,56913128
1917,51602172
1918,59261512
1919,49571954
1920,59702602
1921,51971732
1922,57735256
1923,51969916
1924,60209591
1925,50630876
1926,60022120
1927,52717492
1928,58543935
1929,52814636
1930,60993596
1931,50818932
1932,61317919
1933,53488290
1934,59024620
1935,53524502
1936,61683603
1937,51971362
1938,61729050
1939,54003136
1940,60253964
1941,54051510
1942,62575010
1943,52284264
1944,62746217
1945,55055724
1946,60531094
1947,54932768
1948,63352063
1949,53166136
1950,63505642
1951,55301014
1952,61813086
1953,55667346
1954,63989676
1955,53788780
1956,64241420
1957,56486858
1958,62210456
1959,56186704
1960,65211697
1961,54446164
1962,65075803
1963,56860106
1964,63202609
1965,57275620
1966,65508922
1967,55231046
1968,66030990
1969,57693354
1970,63989076
1971,57509238
1972,66840824
1973,55990962
1974,66586240
1975,58497936
1976,64647680
1977,58709654
1978,67277981
1979,56471604
1980,67869004
1981,59124892
1982,65577250
1983,59077236
1984,68301471
1985,57576230
1986,68137781
1987,59960612
1988,66462024
1989,60029638
1990,69085219
1991,57778436
1992,69541562
1993,60717346
1994,67031613
1995,60785022
1996,69882461
1997,58969272
1998,69943804
1999,61257438
2000,68298374
2001,61409450
2002,70840411
2003,59369348
2004,70979956
2005,62408756
2006,68535984
2007,62299626
2008,71723302
2009,60300518
2010,71851173
2011,62589670
2012,69948810
2013,63069774
2014,72331204
2015,61026966
2016,72654718
2017,63907046
2018,70294377
2019,63623608
2020,73642359
2021,61656660
2022,73570607
2023,64328724
2024,71426749
2025,64729358
2026,73936673
2027,62503148
2028,74532032
2029,65257286
2030,72250196
2031,65032894
2032,75309660
2033,63299838
2034,75105137
2035,66064852
2036,73010210
2037,66337450
2038,75825469
2039,63742970
2040,76492332
2041,66687334
2042,73936828
2043,66749668
2044,76925816
2045,65012250
2046,76693855
2047,67606094
2048,74869182
2049,67689682
2050,77801987
2051,65207024
2052,78269032
2053,68353316
2054,75433254
2055,68508308
2056,78584896
2057,66534824
2058,78690500
2059,68986080
2060,76754646
2061,69151812
2062,79551928
2063,66894968
2064,79855056
2065,70201234
2066,77058798
2067,70041458
2068,80514196
2069,67869686
2070,80691323
2071,70455178
2072,78576432
2073,70904022
2074,81088649
2075,68632250
2076,81519852
2077,71797176
2078,78975124
2079,71515854
2080,82561079
2081,69222922
2082,82496864
2083,72202870
2084,80107751
2085,72752960
2086,82834324
